"Machine ID","Build ID","Date","Config","Test","Time","Time Out","Pass","Total"
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:06.828759,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.026025,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:06.976095,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.030213,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.120407,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.024729,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.264796,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.027044,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.409023,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.02445,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.554799,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.02575,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.703964,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.028754,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.848369,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.025681,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:07.999424,-bdd-full -pack -eq -sing,branch-assume.sdsl,0.030191,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.125762,-qbf depqbf -sing,branch-assume.sdsl,0.010424,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.251773,-qbf depqbf -sing,branch-assume.sdsl,0.010789,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.380860,-qbf depqbf -sing,branch-assume.sdsl,0.010588,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.510063,-qbf depqbf -sing,branch-assume.sdsl,0.01066,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.637640,-qbf depqbf -sing,branch-assume.sdsl,0.010163,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.768536,-qbf depqbf -sing,branch-assume.sdsl,0.011979,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:08.895568,-qbf depqbf -sing,branch-assume.sdsl,0.010378,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.023677,-qbf depqbf -sing,branch-assume.sdsl,0.010776,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.151317,-qbf depqbf -sing,branch-assume.sdsl,0.010521,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.276237,-qbf depqbf -sing,branch-assume.sdsl,0.010727,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.393812,-lin,branch-assume.sdsl,8.3e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.517307,-lin,branch-assume.sdsl,7.4e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.633423,-lin,branch-assume.sdsl,7.3e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.748739,-lin,branch-assume.sdsl,6.5e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.866119,-lin,branch-assume.sdsl,7.8e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:09.981906,-lin,branch-assume.sdsl,7.4e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.096894,-lin,branch-assume.sdsl,7.3e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.213902,-lin,branch-assume.sdsl,8e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.330837,-lin,branch-assume.sdsl,7e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.447023,-lin,branch-assume.sdsl,8.3e-05,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.562063,-lin -eq,branch-assume.sdsl,0.00014,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.678368,-lin -eq,branch-assume.sdsl,0.000137,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.794452,-lin -eq,branch-assume.sdsl,0.000135,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:10.910145,-lin -eq,branch-assume.sdsl,0.000136,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.028807,-lin -eq,branch-assume.sdsl,0.000132,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.144833,-lin -eq,branch-assume.sdsl,0.000136,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.261460,-lin -eq,branch-assume.sdsl,0.00015,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.378266,-lin -eq,branch-assume.sdsl,0.000263,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.496141,-lin -eq,branch-assume.sdsl,0.000156,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.612935,-lin -eq,branch-assume.sdsl,0.000138,False,0,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.758947,-bdd-full -sing,branch-update.sdsl,0.023628,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:11.907342,-bdd-full -sing,branch-update.sdsl,0.028238,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.047941,-bdd-full -sing,branch-update.sdsl,0.024002,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.187797,-bdd-full -sing,branch-update.sdsl,0.023241,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.329343,-bdd-full -sing,branch-update.sdsl,0.02558,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.475201,-bdd-full -sing,branch-update.sdsl,0.026966,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.619919,-bdd-full -sing,branch-update.sdsl,0.026931,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.776988,-bdd-full -sing,branch-update.sdsl,0.033772,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:12.929119,-bdd-full -sing,branch-update.sdsl,0.030505,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.069350,-bdd-full -sing,branch-update.sdsl,0.025518,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.212661,-bdd-full -pack -sing,branch-update.sdsl,0.02475,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.357519,-bdd-full -pack -sing,branch-update.sdsl,0.023297,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.499064,-bdd-full -pack -sing,branch-update.sdsl,0.025527,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.639494,-bdd-full -pack -sing,branch-update.sdsl,0.02334,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.791912,-bdd-full -pack -sing,branch-update.sdsl,0.03074,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:13.941251,-bdd-full -pack -sing,branch-update.sdsl,0.025444,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.083348,-bdd-full -pack -sing,branch-update.sdsl,0.024602,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.230418,-bdd-full -pack -sing,branch-update.sdsl,0.027117,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.373056,-bdd-full -pack -sing,branch-update.sdsl,0.027302,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.514721,-bdd-full -pack -sing,branch-update.sdsl,0.024144,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.661270,-bdd-full -eq -sing,branch-update.sdsl,0.025583,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.814743,-bdd-full -eq -sing,branch-update.sdsl,0.033601,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:14.962660,-bdd-full -eq -sing,branch-update.sdsl,0.024058,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.104752,-bdd-full -eq -sing,branch-update.sdsl,0.024785,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.249219,-bdd-full -eq -sing,branch-update.sdsl,0.025128,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.399455,-bdd-full -eq -sing,branch-update.sdsl,0.028603,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.547479,-bdd-full -eq -sing,branch-update.sdsl,0.026339,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.694882,-bdd-full -eq -sing,branch-update.sdsl,0.026217,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.845440,-bdd-full -eq -sing,branch-update.sdsl,0.024547,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:15.997574,-bdd-full -eq -sing,branch-update.sdsl,0.032186,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:16.142243,-bdd-full -eq -pack -sing,branch-update.sdsl,0.02712,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:16.288629,-bdd-full -eq -pack -sing,branch-update.sdsl,0.026339,False,2,2
6C400893EE36,80686187c8bf413c0185a318095075dc,2015-06-02T15:04:16.436174,-bdd-full -eq -pack -sing,branch-update.sdsl,0.029768,False,2,2
